Classifier,1-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100
Logistic Regression,0.929853181076672,0.9166666666666666,0.9361702127659575,0.9090909090909091,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
Support Vector Machines,0.9844020797227037,0.9909909909909909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.9305331179321487,0.8870967741935484,0.9361702127659575,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
Decision Tree,0.9547738693467336,0.9401709401709402,0.9361702127659575,0.9090909090909091,0.8,1.0,1.0,1.0,1.0,1.0
Random Forest,0.962962962962963,0.9734513274336283,0.9565217391304348,0.9090909090909091,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
