Classifier,Acc,BA,AUC,Precision,Recall,F1,Time
Logistic Regression,0.923,0.923,0.979,0.873,0.991,0.928,0.0
Support Vector Machines,0.982,0.982,0.993,0.971,0.994,0.982,16.0
Naive Bayes,0.917,0.917,0.975,0.863,0.993,0.923,0.0
Decision Tree,0.948,0.948,0.96,0.917,0.987,0.95,0.0
Random Forest,0.958,0.958,0.997,0.925,0.998,0.96,3.0
